Loss,Mem,lr
8.6145,29.0,1.0
8.4455,29.0,1.0
8.9954,29.0,1.0
8.5715,29.0,1.0
7.7365,29.2,1.0
8.5149,29.2,1.0
8.6686,29.2,1.0
8.0591,29.2,1.0
8.1751,29.2,1.0
8.1486,29.2,1.0
8.5382,29.2,1.0
8.5086,29.2,1.0
8.1943,29.2,1.0
7.7256,29.2,1.0
8.024,29.2,1.0
7.5351,34.3,1.0
7.6003,34.3,1.0
7.941,34.3,1.0
7.9559,34.3,1.0
7.8617,34.3,1.0
7.9299,34.3,1.0
7.7901,34.3,1.0
7.6027,34.3,1.0
7.7296,34.3,1.0
7.6113,34.3,1.0
7.8874,34.3,1.0
7.7571,34.3,1.0
7.5833,34.3,1.0
7.4251,34.3,1.0
7.3775,34.3,1.0
7.8622,34.3,1.0
7.6218,34.3,1.0
7.7743,34.3,1.0
7.7263,34.3,1.0
7.8294,34.3,1.0
7.9563,34.3,1.0
7.44,34.3,1.0
7.435,34.3,1.0
7.3944,34.3,1.0
7.4653,34.3,1.0
7.5969,34.3,1.0
7.5438,34.3,1.0
7.5516,34.3,1.0
7.4443,34.3,1.0
7.4444,34.3,1.0
7.3284,34.3,1.0
7.7696,34.3,1.0
7.5153,34.3,1.0
7.5223,34.3,1.0
7.1887,34.3,1.0
7.1924,34.3,1.0
7.3838,34.3,1.0
7.8905,34.3,1.0
7.5014,34.3,1.0
7.6417,34.3,1.0
7.5562,34.3,1.0
7.4446,34.3,1.0
7.3298,34.3,1.0
7.3205,34.3,1.0
7.5736,34.3,1.0
7.4468,34.3,1.0
7.2965,34.3,1.0
7.446,34.3,1.0
7.3229,34.3,1.0
7.2223,34.3,1.0
7.571,34.3,1.0
7.4106,34.3,1.0
7.5594,34.3,1.0
7.7599,34.3,1.0
7.6086,34.3,1.0
7.4375,34.3,1.0
7.4066,34.3,1.0
7.7037,34.3,1.0
7.1711,34.3,1.0
7.4908,34.3,1.0
7.3674,34.3,1.0
7.2215,34.3,1.0
7.8734,34.3,1.0
7.2869,34.3,1.0
6.9695,34.3,1.0
7.2795,34.3,1.0
7.229,34.3,1.0
7.2203,34.3,1.0
6.9146,43.2,1.0
7.5144,43.2,1.0
7.4054,43.2,1.0
7.0203,43.2,1.0
7.5843,43.2,1.0
7.3582,43.2,1.0
7.2889,43.2,1.0
7.5032,43.2,1.0
7.2952,43.2,1.0
7.5679,43.2,1.0
7.1898,43.2,1.0
6.8606,43.2,1.0
7.5884,43.2,1.0
7.2227,43.2,1.0
7.4714,43.2,1.0
7.6055,43.2,1.0
7.5322,43.2,1.0
7.5205,43.2,1.0
7.4151,43.2,1.0
7.3482,43.2,1.0
7.4281,43.2,1.0
7.7135,43.2,1.0
7.2352,43.2,1.0
7.1543,43.2,1.0
7.496,43.2,1.0
7.2679,43.2,1.0
7.3612,43.2,1.0
7.5033,43.2,1.0
7.2855,43.2,1.0
7.2692,43.2,1.0
6.9879,43.2,1.0
7.518,43.2,1.0
7.1553,43.2,1.0
7.5582,43.2,1.0
7.2073,43.2,1.0
7.691,43.2,1.0
7.4548,43.2,1.0
7.4892,43.2,1.0
7.6762,43.2,1.0
6.9985,43.2,1.0
7.3793,43.2,1.0
7.3048,43.2,1.0
7.4508,43.2,1.0
7.4275,43.2,1.0
7.4398,43.2,1.0
7.2025,43.2,1.0
6.8551,43.2,1.0
7.5385,43.2,1.0
7.2699,43.2,1.0
6.9666,43.2,1.0
7.343,43.2,1.0
7.1537,43.2,1.0
7.2886,43.2,1.0
7.5583,43.2,1.0
7.5243,43.2,1.0
7.2717,43.2,1.0
7.1094,43.2,1.0
6.7144,43.2,1.0
7.275,43.2,1.0
7.2765,43.2,1.0
7.1259,43.2,1.0
7.4419,43.2,1.0
7.2723,43.2,1.0
7.3244,43.2,1.0
7.1057,43.2,1.0
7.4003,43.2,1.0
6.9732,43.2,1.0
7.3728,43.2,1.0
7.5237,43.2,1.0
7.6325,43.2,1.0
7.2834,43.2,1.0
7.2951,43.2,1.0
7.1482,43.2,1.0
7.1434,43.2,1.0
7.3264,43.2,1.0
7.4222,43.2,1.0
7.2755,43.2,1.0
6.9119,43.2,1.0
7.0652,43.2,1.0
7.3193,43.2,1.0
6.9745,43.2,1.0
7.2302,43.2,1.0
7.2528,43.2,1.0
7.3168,43.2,1.0
7.0928,43.2,1.0
6.9617,43.2,1.0
7.0494,43.2,1.0
7.1236,43.2,1.0
7.1095,43.2,1.0
7.3011,43.2,1.0
7.1838,43.2,1.0
7.2644,43.2,1.0
7.2026,43.2,1.0
7.4336,43.2,1.0
7.2264,43.2,1.0
7.0614,43.2,1.0
7.0438,43.2,1.0
6.9698,43.2,1.0
7.1373,43.2,1.0
6.9818,43.2,1.0
6.9614,43.2,1.0
7.1702,43.2,1.0
7.5246,43.2,1.0
7.4686,43.2,1.0
7.3691,43.2,1.0
7.3112,43.2,1.0
7.2781,43.2,1.0
7.2606,43.2,1.0
7.0445,43.2,1.0
7.3714,43.2,1.0
7.3861,43.2,1.0
7.1531,43.2,1.0
7.4625,43.2,1.0
7.2263,43.2,1.0
7.1894,43.2,1.0
7.0629,43.2,1.0
7.2722,43.2,1.0
7.0633,43.2,1.0
7.3155,43.2,1.0
6.5207,43.2,1.0
6.9993,43.2,1.0
7.4725,43.2,1.0
6.8367,43.2,1.0
7.2482,43.2,1.0
7.3457,43.2,1.0
7.0885,43.2,1.0
7.2214,43.2,1.0
7.4189,43.2,1.0
7.0171,43.2,1.0
7.2141,43.2,1.0
7.4283,43.2,1.0
7.1975,43.2,1.0
7.2032,43.2,1.0
7.2904,43.2,1.0
7.3374,43.2,1.0
7.1215,43.2,1.0
7.2588,43.2,1.0
7.2029,43.2,1.0
7.1972,43.2,1.0
7.3628,43.2,1.0
7.0386,43.2,1.0
7.3395,43.2,1.0
7.3978,43.2,1.0
7.1148,43.2,1.0
7.0396,43.2,1.0
6.7591,43.2,1.0
7.2814,43.2,1.0
7.3917,43.2,1.0
7.4063,43.2,1.0
7.22,43.2,1.0
7.405,43.2,1.0
7.0629,43.2,1.0
7.0525,43.2,1.0
6.8755,43.2,1.0
7.4054,43.2,1.0
7.5596,43.2,1.0
7.3583,43.2,1.0
7.1538,43.2,1.0
7.0543,43.2,1.0
7.1476,43.2,1.0
7.2235,43.2,1.0
7.2035,43.2,1.0
