Loss,Mem,Throughput,lr,0,1,2,3
10.487,43.201,16496.1423,1.0,,,,
10.4771,43.209,29083.6979,1.0,,,,
10.4805,43.209,31347.64,1.0,,,,
10.4775,43.209,29377.0573,1.0,,,,
10.4711,43.209,32096.7474,1.0,,,,
10.4749,43.209,26294.8172,1.0,,,,
10.4594,43.209,29984.1414,1.0,,,,
10.4626,43.209,30654.2418,1.0,,,,
10.4654,43.209,35454.3568,1.0,,,,
10.4395,43.209,28368.0784,1.0,,,,
10.4437,43.209,33218.6019,1.0,,,,
10.4544,43.209,29255.1088,1.0,,,,
10.4423,43.209,28562.0297,1.0,,,,
10.4375,43.209,26861.4512,1.0,,,,
10.4405,43.209,25144.9509,1.0,,,,
10.4394,43.209,18532.589,1.0,,,,
10.4229,43.209,29274.2122,1.0,,,,
10.4266,43.209,28312.3752,1.0,,,,
10.4233,43.209,30615.0285,1.0,,,,
10.4216,43.209,31956.8227,1.0,,,,
10.4087,43.209,31902.3399,1.0,,,,
10.4041,43.209,28475.7,1.0,,,,
10.4069,43.209,29028.0026,1.0,,,,
10.3832,43.209,26380.2256,1.0,,,,
10.3697,43.209,28774.3461,1.0,,,,
10.395,43.209,35331.6409,1.0,,,,
10.3931,43.209,30580.0788,1.0,,,,
10.3648,43.209,25233.2588,1.0,,,,
10.3753,43.209,26895.8947,1.0,,,,
10.362,43.209,26559.446,1.0,,,,
10.3634,43.209,27875.2298,1.0,,,,
10.358,43.209,24896.0026,1.0,,,,
10.3372,43.209,25071.5501,1.0,,,,
10.3413,43.209,25834.0489,1.0,,,,
10.3329,43.209,32068.5407,1.0,,,,
10.3552,43.209,31504.319,1.0,,,,
10.3219,43.209,28443.2802,1.0,,,,
10.3252,43.209,34055.6463,1.0,,,,
10.316,43.209,26751.5906,1.0,,,,
10.3226,43.209,27845.5744,1.0,,,,
10.3081,43.209,32398.8659,1.0,,,,
10.3126,43.209,25511.8955,1.0,,,,
10.3025,43.209,27995.8121,1.0,,,,
10.2977,43.209,32233.8767,1.0,,,,
10.2787,43.209,28751.8463,1.0,,,,
10.2991,43.209,28342.5137,1.0,,,,
10.2649,43.209,24296.5198,1.0,,,,
10.2702,43.209,24804.3822,1.0,,,,
10.2455,43.209,33354.6918,1.0,,,,
10.2657,43.209,24057.2822,1.0,,,,
10.2617,43.209,27876.5638,1.0,,,,
10.2589,43.209,32872.8062,1.0,,,,
10.2145,43.209,30150.7879,1.0,,,,
10.2474,43.209,27592.2695,1.0,,,,
10.2191,43.209,27150.5554,1.0,,,,
10.2315,43.209,28681.5501,1.0,,,,
10.2215,43.209,24969.4055,1.0,,,,
10.2238,43.209,31916.6219,1.0,,,,
10.2086,43.209,28017.8646,1.0,,,,
10.1785,43.209,31044.7808,1.0,,,,
10.2106,43.209,26340.3893,1.0,,,,
10.1989,43.209,29349.396,1.0,,,,
10.1854,43.209,25659.9394,1.0,,,,
10.1815,43.209,31571.2853,1.0,,,,
10.1761,43.209,28198.1441,1.0,,,,
10.1319,43.209,29715.4838,1.0,,,,
10.1534,43.209,28654.7169,1.0,,,,
10.1834,43.209,24053.746,1.0,,,,
10.1583,43.209,22825.3645,1.0,,,,
10.1167,43.209,26746.1484,1.0,,,,
10.1074,43.209,28790.4832,1.0,,,,
10.1089,43.209,30246.7784,1.0,,,,
10.1458,43.209,29645.6917,1.0,,,,
10.1061,43.209,31814.7026,1.0,,,,
10.0946,43.209,28528.7483,1.0,,,,
10.0965,43.209,30228.5278,1.0,,,,
10.0941,43.209,27391.0523,1.0,,,,
10.0901,43.209,29402.1555,1.0,,,,
10.1081,43.209,25331.7244,1.0,,,,
10.0666,43.209,26975.8865,1.0,,,,
10.101,43.209,27392.619,1.0,,,,
10.0861,43.209,27893.9908,1.0,,,,
10.0811,43.209,22692.461,1.0,,,,
10.0485,43.209,27275.6837,1.0,,,,
10.0501,43.209,26352.5776,1.0,,,,
10.0113,43.209,29000.2352,1.0,,,,
10.0448,43.209,23741.5558,1.0,,,,
10.0341,43.209,25014.5647,1.0,,,,
10.02,43.209,29782.3916,1.0,,,,
10.0054,43.209,28145.7891,1.0,,,,
10.0216,43.209,29227.9115,1.0,,,,
10.0082,43.209,28420.144,1.0,,,,
9.9945,43.209,28749.628,1.0,,,,
9.9814,43.209,27604.4811,1.0,,,,
9.9689,43.209,30674.3726,1.0,,,,
9.9453,43.209,28813.9995,1.0,,,,
9.9724,43.209,26043.0721,1.0,,,,
9.9944,43.209,23675.3339,1.0,,,,
9.9278,43.209,26172.2659,1.0,,,,
9.965,43.209,23408.0434,1.0,,,,
9.9284,43.209,26413.4398,1.0,,,,
9.8936,43.209,33569.1571,1.0,,,,
9.9553,43.209,26590.9183,1.0,,,,
9.9191,43.209,28860.1666,1.0,,,,
9.9147,43.209,27895.1118,1.0,,,,
9.9189,43.209,25023.7252,1.0,,,,
9.9306,43.209,28858.7637,1.0,,,,
9.8885,43.209,28148.0131,1.0,,,,
9.8951,43.209,25527.2089,1.0,,,,
9.9028,43.209,21299.9515,1.0,,,,
9.8735,43.209,24221.141,1.0,,,,
9.899,43.209,24201.4156,1.0,,,,
9.8759,43.209,24965.9916,1.0,,,,
9.8909,43.209,25359.6861,1.0,,,,
9.843,43.209,25229.9699,1.0,,,,
9.8406,43.209,27672.8358,1.0,,,,
9.8237,43.209,33204.8531,1.0,,,,
9.832,43.209,34810.2449,1.0,,,,
9.8211,43.209,28308.5225,1.0,,,,
9.8184,43.209,29762.652,1.0,,,,
9.8463,43.209,31289.9494,1.0,,,,
9.8091,43.209,30252.6622,1.0,,,,
9.8221,43.209,27721.9524,1.0,,,,
9.823,43.209,27145.8199,1.0,,,,
9.8093,43.209,31952.0908,1.0,,,,
9.7547,43.209,27909.4104,1.0,,,,
9.7958,43.209,28110.5956,1.0,,,,
9.781,43.209,25791.7084,1.0,,,,
9.7521,43.209,29183.0138,1.0,,,,
9.7411,43.209,28083.0699,1.0,,,,
9.7744,43.209,34149.5278,1.0,,,,
9.7692,43.209,30116.448,1.0,,,,
9.7779,43.209,26597.0345,1.0,,,,
9.7411,43.209,29938.8781,1.0,,,,
9.7577,43.209,25346.9286,1.0,,,,
9.7268,43.209,28374.7639,1.0,,,,
9.7774,43.209,28203.0169,1.0,,,,
9.7304,43.209,32739.8072,1.0,,,,
9.7443,43.209,29931.8605,1.0,,,,
9.6819,43.209,26298.3423,1.0,,,,
9.7156,43.209,22996.0259,1.0,,,,
9.6838,43.209,30114.838,1.0,,,,
9.7059,43.209,26466.1376,1.0,,,,
9.7133,43.209,27990.3008,1.0,,,,
9.6989,43.209,25150.7543,1.0,,,,
9.6484,43.209,27348.3696,1.0,,,,
9.7042,43.209,24849.5309,1.0,,,,
9.6636,43.209,29156.2621,1.0,,,,
9.7071,43.209,29185.9468,1.0,,,,
9.6354,43.209,32220.3869,1.0,,,,
9.6758,43.209,23657.8306,1.0,,,,
9.6574,43.209,24082.7504,1.0,,,,
9.674,43.209,25835.3949,1.0,,,,
9.6114,43.209,32323.5971,1.0,,,,
9.6599,43.209,27106.2534,1.0,,,,
9.6284,43.209,32299.1845,1.0,,,,
9.6224,43.209,27132.9381,1.0,,,,
9.6438,43.209,25060.4641,1.0,,,,
9.6174,43.209,29294.1551,1.0,,,,
9.646,43.209,25768.3695,1.0,,,,
9.6251,43.209,28425.385,1.0,,,,
9.612,43.209,25815.4606,1.0,,,,
9.5871,43.209,28228.5927,1.0,,,,
9.5863,43.209,30522.8894,1.0,,,,
9.584,43.209,27976.9691,1.0,,,,
9.5442,43.209,33330.5842,1.0,,,,
9.5575,43.209,30261.7779,1.0,,,,
9.5511,43.209,31701.1112,1.0,,,,
9.5729,43.209,29357.6302,1.0,,,,
9.5828,43.209,25395.1399,1.0,,,,
9.5863,43.209,27406.9985,1.0,,,,
9.5851,43.209,23844.1001,1.0,,,,
9.5407,43.209,31294.931,1.0,,,,
9.5248,43.209,32258.6828,1.0,,,,
9.5075,43.209,29023.9478,1.0,,,,
9.5457,43.209,25494.8662,1.0,,,,
9.5366,43.209,26292.4674,1.0,,,,
9.4828,43.209,28330.2852,1.0,,,,
9.5302,43.209,26725.6815,1.0,,,,
9.5572,43.209,30976.7747,1.0,,,,
9.5493,43.209,24657.5452,1.0,,,,
9.5478,43.209,30574.4583,1.0,,,,
9.4521,43.209,33072.8916,1.0,,,,
9.4595,43.209,33012.3664,1.0,,,,
9.4938,43.209,28790.8242,1.0,,,,
9.4923,43.209,24124.566,1.0,,,,
9.5137,43.209,27004.6971,1.0,,,,
9.4731,43.209,25951.6814,1.0,,,,
9.5086,43.209,23360.8055,1.0,,,,
9.4921,43.209,28913.7601,1.0,,,,
9.4648,43.209,31449.9978,1.0,,,,
9.4706,43.209,27956.9815,1.0,,,,
9.46,43.209,28326.3209,1.0,,,,
9.4198,43.209,33862.2972,1.0,,,,
9.4296,43.209,32355.9411,1.0,,,,
9.4305,43.209,28569.0804,1.0,,,,
9.4016,43.209,31068.9618,1.0,,,,
9.4003,43.209,29753.4021,1.0,,,,
9.4639,43.209,27749.9106,1.0,,,,
9.445,43.209,28619.3778,1.0,,,,
9.4383,43.209,30852.1033,1.0,,,,
9.4232,43.209,28324.0548,1.0,,,,
9.3965,43.209,30609.6934,1.0,,,,
9.4266,43.209,22778.3716,1.0,,,,
9.3768,43.209,27040.0603,1.0,,,,
9.4126,43.209,29062.3974,1.0,,,,
9.4025,43.209,29938.1972,1.0,,,,
9.4326,43.209,23082.0206,1.0,,,,
9.3765,43.209,32260.9413,1.0,,,,
9.3671,43.209,32566.6141,1.0,,,,
9.394,43.209,29695.3019,1.0,,,,
9.4106,43.209,30377.1707,1.0,,,,
9.3607,43.209,32962.458,1.0,,,,
9.3773,43.209,30921.9533,1.0,,,,
9.3408,43.209,27946.1467,1.0,,,,
9.3269,43.209,29782.9943,1.0,,,,
9.344,43.209,32336.1573,1.0,,,,
9.3441,43.209,28925.5242,1.0,,,,
9.3521,43.209,24963.8665,1.0,,,,
9.3271,43.209,27017.7376,1.0,,,,
9.4106,43.209,28031.9959,1.0,,,,
9.3317,43.209,26125.3672,1.0,,,,
9.317,43.209,34063.8906,1.0,,,,
9.3342,43.209,29672.3762,1.0,,,,
