train_acc,loss,0,1
9.375,320071008.0,,
7.812,334880704.0,,
12.5,333344064.0,,
14.062,329921184.0,,
12.5,336771577.6,,
12.5,339449717.3333,,
11.607,338295954.2857,,
11.328,334500460.0,,
11.111,333199637.3333,,
10.625,333375324.8,,
9.659,331066184.7273,,
9.375,331951045.3333,,
9.375,331233250.4615,,
9.375,334128388.5714,,
9.375,333964298.6667,,
8.984,334742990.0,,
9.007,334521490.8235,,
9.201,334226739.5556,,
9.211,333992572.6316,,
9.219,334158086.4,,
8.78,333919035.4286,,
8.949,334278464.0,,
8.967,334854575.3043,,
9.245,335798178.6667,,
9.0,335659449.6,,
8.774,335916792.6154,,
8.565,335566289.7778,,
8.482,335518357.7143,,
8.297,335147586.2069,,
8.646,335281625.6,,
8.367,334499219.6129,,
8.398,334997230.0,,
8.333,335168461.5758,,
8.088,334230925.1765,,
7.946,334804649.1429,,
7.726,334112304.8889,,
8.024,332818529.7297,,
7.895,333224888.4211,,
8.093,332427615.1795,,
8.203,332219210.4,,
8.003,332316313.7561,,
7.887,332120393.9048,,
7.776,332310510.1395,,
7.741,332220674.9091,,
7.778,332027762.4889,,
7.88,332205408.0,,
7.979,331760118.4681,,
7.943,331778890.0,,
7.972,331792148.2449,,
8.062,331974914.56,,
7.904,331796294.902,,
7.933,331749855.3846,,
8.019,331799691.4717,,
7.928,331975221.9259,,
8.125,331821613.9636,,
8.259,331566050.8571,,
8.169,331469885.193,,
8.082,331336060.6897,,
7.945,331836318.9153,,
8.229,332112649.0667,,
8.094,332607567.2131,,
8.014,332515851.871,,
7.986,332704201.6508,,
7.861,332411796.0,,
7.788,332019057.7231,,
7.765,331834360.2424,,
7.836,331680879.2836,,
7.858,331782917.1765,,
7.88,332035985.1594,,
7.768,332566096.9143,,
7.658,332374513.1268,,
7.726,332610888.8889,,
7.62,332625336.9863,,
7.601,332400499.4595,,
7.542,332492325.5467,,
7.648,332663562.9474,,
7.63,332786116.5714,,
7.652,332854663.7949,,
7.753,332854016.0512,,
7.812,9.1165,,
7.716,14.5037,,
7.774,24.5306,,
7.907,27.2229,,
7.924,26.5864,,
8.051,26.7197,,
8.067,25.2199,,
8.118,23.6439,,
8.168,21.8192,,
8.322,20.352,,
8.299,19.1157,,
8.207,17.9879,,
8.288,17.123,,
8.367,16.2326,,
8.311,15.4498,,
8.289,14.765,,
8.301,14.2169,,
8.344,13.6378,,
8.355,13.1187,,
8.333,12.6481,,
8.344,12.2928,,
8.292,11.9325,,
8.364,11.5912,,
8.404,11.2679,,
8.534,10.9556,,
8.482,10.6506,,
8.461,10.3913,,
8.499,10.2152,,
8.594,9.9903,,
8.572,9.7743,,
8.551,9.6105,,
8.474,9.446,,
8.454,9.2746,,
8.407,9.1282,,
8.47,8.9678,,
8.478,8.8251,,
8.459,8.6744,,
8.494,8.5514,,
8.581,8.4231,,
8.587,8.2973,,
8.698,8.211,,
8.626,8.1049,,
8.632,8.0046,,
8.664,7.8995,,
8.669,7.7875,,
8.75,7.6786,,
8.755,7.5875,,
8.76,7.496,,
8.789,7.4003,,
8.818,7.3078,,
8.846,7.2562,,
8.779,7.1926,,
8.783,7.119,,
8.882,7.0424,,
9.025,6.9697,,
9.074,6.9007,,
9.168,6.8311,,
9.17,6.7719,,
9.216,6.7107,,
9.263,6.6462,,
9.353,6.6146,,
9.286,6.5691,,
9.441,6.5214,,
9.462,6.4694,,
9.44,6.4214,,
9.461,6.3784,,
9.461,6.3271,,
9.524,6.274,,
9.523,6.2244,,
9.543,6.1756,,
9.5,6.1529,,
9.437,6.1137,,
9.498,6.0785,,
9.518,6.0392,,
9.74,6.0026,,
9.778,5.9625,,
9.816,5.9247,,
9.813,5.8846,,
9.83,5.8472,,
9.847,5.8087,,
9.824,5.794,,
9.763,5.7649,,
9.857,5.7365,,
9.931,5.706,,
10.061,5.671,,
10.057,5.6385,,
10.034,5.6065,,
10.161,5.5764,,
10.138,5.5455,,
10.152,5.5142,,
10.202,5.5037,,
10.143,5.4803,,
10.12,5.4588,,
10.116,5.4335,,
10.183,5.4126,,
10.214,5.3848,,
10.245,5.3609,,
10.311,5.3384,,
10.305,5.3119,,
10.3,5.285,,
10.33,5.2779,,
10.29,5.2593,,
10.354,5.24,,
10.4,5.2176,,
10.428,5.1986,,
10.507,5.1792,,
10.585,5.158,,
10.612,5.1349,,
10.6,5.1137,,
9.375,5.1001,,
6.25,5.0955,,
10.417,5.0812,,
10.156,5.065,,
12.5,5.0447,,
13.542,5.0249,,
14.286,5.0047,,
13.672,4.9865,,
13.542,4.9652,,
14.688,4.9462,,
13.352,4.9254,,
13.802,4.9233,,
13.462,4.9133,,
12.946,4.8974,,
13.125,4.8807,,
12.5,4.8655,,
12.316,4.8488,,
12.5,4.8342,,
12.5,4.8184,,
12.5,4.8007,,
12.054,4.7848,,
12.358,4.7818,,
13.043,4.7696,,
13.281,4.7549,,
13.125,4.7383,,
12.62,4.722,,
12.384,4.7088,,
12.388,4.6951,,
12.5,4.679,,
12.812,4.6646,,
12.5,4.649,,
12.793,4.6483,,
13.163,4.6364,,
12.776,4.6277,,
12.5,4.6162,,
12.5,4.6042,,
13.176,4.5914,,
12.993,4.5791,,
13.221,4.5701,,
13.438,4.5591,,
13.186,4.5507,,
13.17,4.5495,,
12.936,4.539,,
12.855,4.5294,,
13.125,4.5145,,
13.315,4.5087,,
13.364,4.4979,,
13.281,4.4875,,
13.202,4.4766,,
13.188,4.467,,
12.99,4.4554,,
12.981,4.4561,,
12.972,4.4473,,
13.079,4.4366,,
13.352,4.4252,,
13.504,4.4159,,
13.596,4.4069,,
13.47,4.3945,,
13.506,4.3852,,
13.698,4.3764,,
13.576,4.3685,,
13.508,4.3697,,
13.492,4.3628,,
13.379,4.3552,,
13.317,4.3465,,
13.258,4.3374,,
13.34,4.327,,
13.419,4.3174,,
13.406,4.309,,
13.438,4.3043,,
13.336,4.2955,,
13.281,4.2966,,
13.271,4.2894,,
13.302,4.2825,,
13.25,4.274,,
13.281,4.2647,,
13.149,4.2557,,
13.061,4.2467,,
12.975,4.2424,,
12.891,6.3677,,
12.809,6.3435,,
12.995,6.2792,,
13.027,6.2333,,
13.021,6.3184,,
13.088,6.344,,
13.118,6.3992,,
13.147,6.4163,,
13.175,6.3979,,
13.237,6.3998,,
13.368,6.3802,,
13.29,6.3737,,
13.383,6.3947,,
13.407,6.3847,,
13.398,6.3907,,
13.388,6.4023,,
13.314,6.4089,,
13.338,6.4068,,
13.233,6.4015,,
13.163,6.405,,
13.156,6.411,,
13.088,6.4048,,
13.235,6.4132,,
13.289,6.4013,,
13.341,6.4015,,
13.333,6.4017,,
13.325,6.3969,,
13.376,6.3978,,
13.397,6.3989,,
13.331,6.3874,,
13.295,6.3849,,
13.204,6.3821,,
13.198,6.3779,,
13.108,6.374,,
13.103,6.3713,,
13.207,6.376,,
13.2,6.3727,,
13.221,6.3717,,
13.347,6.3689,,
13.367,6.372,,
13.411,6.3724,,
13.301,6.3757,,
13.268,6.3807,,
13.288,6.3781,,
13.206,6.3724,,
13.225,6.3736,,
13.244,6.3739,,
13.337,6.3743,,
13.33,6.3742,,
13.275,6.3722,,
13.293,6.3768,,
13.216,6.38,,
13.258,6.378,,
13.299,6.3721,,
13.386,6.3798,,
13.426,6.3834,,
13.534,6.3837,,
13.595,6.3834,,
13.61,6.3889,,
13.647,6.3922,,
13.75,6.3923,,
13.741,6.3937,,
13.952,6.3876,,
13.942,6.3878,,
13.911,6.3839,,
13.879,6.3808,,
14.02,6.3822,,
14.116,6.3832,,
14.084,6.3824,,
14.115,6.391,,
14.042,6.3902,,
13.969,6.3903,,
14.042,6.3922,,
14.032,6.391,,
14.265,6.3932,,
14.254,6.3927,,
14.283,6.3941,,
14.271,6.394,,
14.26,6.3943,,
14.249,3.0964,,
14.297,3.0329,,
14.227,2.8688,,
14.371,2.8533,,
14.513,2.7772,,
14.634,2.7372,,
14.621,2.7245,,
14.552,2.7578,,
14.689,2.7486,,
14.658,2.7473,,
14.663,2.9003,,
14.706,2.9277,,
14.675,2.9284,,
14.626,2.915,,
14.595,2.9026,,
14.673,2.9838,,
14.679,3.0213,,
14.702,3.019,,
14.742,3.0146,,
14.73,3.0231,,
14.7,3.0947,,
14.774,3.0883,,
14.744,3.0653,,
14.818,3.0451,,
14.822,3.039,,
14.81,3.0311,,
14.865,3.0274,,
14.852,3.0428,,
14.906,3.0323,,
14.883,3.016,,
9.375,3.0595,,
10.938,3.0574,,
15.625,3.0461,,
14.062,3.058,,
16.875,3.0475,,
17.188,3.0445,,
17.411,3.0317,,
15.625,3.0274,,
15.625,3.0139,,
15.938,3.0059,,
14.773,3.0419,,
14.844,3.0367,,
14.904,3.0332,,
14.509,3.0291,,
13.958,3.0162,,
13.281,3.0078,,
13.603,3.0042,,
13.542,2.9965,,
13.98,2.9851,,
14.219,2.9769,,
13.839,3.002,,
14.347,3.0035,,
14.946,2.9955,,
15.104,2.9879,,
15.125,2.9795,,
14.543,2.9713,,
14.236,2.9656,,
13.951,2.9624,,
13.685,2.958,,
14.062,2.9473,,
13.911,2.9684,,
14.062,2.967,,
14.394,2.9638,,
13.971,2.9602,,
13.929,2.9596,,
13.976,2.9557,,
14.358,2.9471,,
14.391,2.9377,,
14.824,2.9277,,
15.078,2.9243,,
15.015,2.9444,,
14.955,2.9426,,
14.68,2.9423,,
14.56,2.9406,,
14.722,2.9397,,
14.946,2.9432,,
14.96,2.9408,,
14.844,2.939,,
15.051,2.9369,,
14.938,2.9314,,
14.767,2.9493,,
14.784,2.9443,,
14.741,2.9424,,
14.641,2.9378,,
14.886,2.9334,,
15.123,2.928,,
15.186,2.9263,,
15.194,2.9229,,
15.148,2.9175,,
15.208,2.9112,,
15.266,2.9287,,
15.373,2.9255,,
15.327,2.927,,
15.332,2.9238,,
15.385,2.9236,,
15.341,2.9193,,
15.392,2.9171,,
15.441,2.9174,,
15.625,2.9183,,
15.714,2.9143,,
15.581,2.9287,,
15.538,2.9249,,
15.582,2.9222,,
15.541,2.9206,,
15.583,2.9195,,
15.584,2.917,,
15.625,2.9137,,
15.625,2.9101,,
15.506,2.9084,,
15.469,2.9159,,
15.394,2.9294,,
15.587,2.9289,,
15.55,2.9283,,
15.513,2.926,,
15.588,2.9227,,
15.589,2.9193,,
15.625,2.9176,,
15.625,2.9132,,
15.73,2.9102,,
15.764,2.9052,,
15.659,2.9183,,
15.795,2.9181,,
15.827,2.9157,,
15.791,2.9162,,
15.757,2.9139,,
15.69,2.9104,,
15.722,2.9075,,
15.593,2.9052,,
15.499,2.9021,,
15.5,2.8997,,
15.377,2.9099,,
15.533,2.9077,,
15.564,2.9043,,
15.655,2.9005,,
15.714,2.8964,,
15.654,2.8946,,
15.713,2.8928,,
15.77,2.8884,,
15.682,2.8851,,
15.625,2.8818,,
15.512,2.8907,,
15.513,2.8872,,
15.459,2.8872,,
15.515,2.886,,
15.625,2.8852,,
15.733,2.8815,,
15.759,2.8792,,
15.757,2.8791,,
15.809,2.8789,,
15.885,2.8801,,
15.78,2.889,,
15.727,2.8851,,
15.727,2.8842,,
15.675,2.8783,,
15.7,2.8809,,
15.774,2.879,,
15.871,2.8777,,
15.869,2.8757,,
15.891,2.8747,,
15.865,2.8717,,
15.768,2.8815,,
15.838,2.8781,,
15.883,2.8745,,
15.951,2.8704,,
15.995,2.8696,,
16.108,2.8693,,
16.15,2.8654,,
16.214,2.8648,,
16.232,2.8642,,
16.295,2.8635,,
16.29,2.8709,,
16.439,2.8691,,
16.455,2.8684,,
16.45,2.8679,,
16.422,2.8668,,
16.46,2.8635,,
16.497,2.8617,,
16.448,2.8601,,
16.485,2.8592,,
16.396,2.8559,,
16.287,2.8626,,
16.447,2.8603,,
16.462,2.8594,,
16.721,2.8582,,
16.694,2.8554,,
16.647,2.8532,,
16.64,2.8497,,
16.634,2.8491,,
16.647,7.5049,,
16.66,7.4252,,
16.576,7.3121,,
16.744,7.1345,,
16.852,7.7096,,
16.921,7.8904,,
16.875,8.2951,,
16.773,8.2946,,
16.879,8.4318,,
16.853,8.3161,,
16.845,8.2465,,
16.893,8.1359,,
16.831,8.1373,,
16.806,8.1224,,
16.799,8.1245,,
16.864,8.181,,
16.857,8.1587,,
16.903,8.1397,,
16.879,8.1559,,
16.854,8.1635,,
16.812,8.1427,,
16.875,8.1511,,
16.92,8.2237,,
16.981,8.2234,,
16.991,8.1966,,
17.018,8.1706,,
17.027,8.1796,,
17.053,8.2044,,
17.112,8.1818,,
17.1,8.1331,,
12.5,8.0893,,
9.375,8.0565,,
14.583,8.0238,,
14.844,7.9916,,
18.125,7.9629,,
18.229,7.9631,,
17.411,7.9554,,
16.016,7.9375,,
16.319,7.9378,,
16.562,7.9191,,
15.341,7.897,,
15.625,7.8953,,
15.625,7.8987,,
15.402,7.8752,,
15.0,7.8699,,
14.453,7.8722,,
14.338,7.859,,
14.236,7.868,,
14.967,7.8613,,
15.156,7.8395,,
14.732,7.8433,,
15.199,7.8437,,
15.625,7.8404,,
15.755,7.8218,,
15.75,7.8694,,
15.505,7.8774,,
15.278,7.8833,,
15.29,7.8682,,
15.086,7.8737,,
15.521,7.8992,,
15.222,7.9118,,
15.234,7.9249,,
15.53,7.9166,,
15.074,7.929,,
15.0,7.9215,,
15.104,7.9055,,
15.372,7.9125,,
15.625,7.9308,,
16.106,7.9172,,
16.172,7.9559,,
16.006,7.9475,,
15.848,7.9493,,
15.77,7.9615,,
15.767,7.9602,,
16.042,7.9716,,
16.236,7.9843,,
16.29,7.9946,,
16.406,8.012,,
16.39,8.0105,,
16.188,2.9898,,
15.931,2.8685,,
16.106,2.6691,,
16.333,2.7029,,
16.493,2.6295,,
16.818,2.607,,
16.964,2.5958,,
17.105,2.6283,,
17.188,2.6105,,
17.373,2.6037,,
17.656,2.7697,,
17.469,2.7576,,
17.54,2.74,,
17.51,2.7237,,
17.627,2.7191,,
17.692,2.7712,,
17.614,2.7847,,
17.771,2.789,,
17.785,2.7815,,
17.935,2.7794,,
17.946,2.8508,,
17.826,2.8319,,
17.795,2.8067,,
17.851,2.7876,,
17.905,2.7852,,
17.875,2.7838,,
17.969,2.7785,,
18.101,2.7914,,
18.149,2.7872,,
18.078,2.7727,,
18.008,2.8179,,
17.94,2.8126,,
18.064,2.8052,,
18.035,2.8123,,
18.006,2.8049,,
18.051,2.803,,
18.096,2.7926,,
18.175,2.7882,,
18.217,2.776,,
18.258,2.7671,,
18.333,2.8015,,
18.269,2.7929,,
18.41,2.7902,,
18.448,2.7882,,
18.451,2.7761,,
18.454,2.7678,,
18.392,2.7611,,
18.331,2.7577,,
18.208,2.7476,,
18.087,2.7446,,
18.094,2.769,,
17.976,2.768,,
18.107,2.7676,,
18.143,2.7619,,
18.119,2.7595,,
18.155,2.755,,
18.072,2.7524,,
18.049,2.7503,,
18.113,2.7483,,
18.062,2.7374,,
17.983,2.7579,,
17.849,2.7544,,
17.801,2.7517,,
17.754,2.7473,,
17.736,2.7492,,
17.853,2.7471,,
17.915,2.7387,,
17.975,2.73,,
18.035,2.7214,,
18.067,2.7204,,
18.177,2.7431,,
18.079,2.7401,,
18.084,2.7404,,
18.089,2.7398,,
18.019,2.7381,,
18.075,2.7399,,
18.18,2.7367,,
18.258,2.7344,,
18.262,2.7329,,
18.314,2.7279,,
18.317,2.7451,,
18.201,2.7395,,
18.253,2.7379,,
18.304,2.733,,
18.4,2.7316,,
18.38,2.7277,,
18.474,2.7229,,
18.545,2.7215,,
18.614,2.7175,,
18.593,2.7114,,
18.728,2.7303,,
18.728,2.7267,,
18.882,2.726,,
18.859,2.723,,
18.902,2.7239,,
18.901,2.72,,
19.007,2.7187,,
19.154,2.7189,,
19.151,2.7194,,
19.128,2.7161,,
19.042,2.7295,,
18.957,2.7251,,
19.017,2.7218,,
19.016,2.7198,,
19.257,2.7177,,
19.234,2.7168,,
19.291,2.7143,,
19.327,2.7111,,
19.304,2.7102,,
19.281,2.7213,,
19.297,2.7354,,
19.216,2.7341,,
19.348,2.7334,,
19.44,2.7299,,
19.474,2.7265,,
19.432,2.7238,,
19.315,2.7229,,
19.424,2.7198,,
19.382,2.7166,,
19.36,2.7129,,
19.375,2.7259,,
19.335,2.7253,,
19.331,2.7222,,
19.364,2.7215,,
19.415,2.7192,,
19.357,2.7163,,
19.371,2.7145,,
19.35,2.7127,,
19.312,2.7096,,
19.274,2.7079,,
19.306,2.7185,,
