Loss,Mem,Throughput,lr
10.4897,47.044,20447.2147,0.001
10.4876,47.052,498272.4462,0.002
10.4896,47.052,532567.719,0.003
10.502,47.052,499937.9743,0.004
10.4863,47.052,546144.921,0.005
10.4831,47.052,448147.7555,0.006
10.4944,47.052,510742.2551,0.007
10.4793,47.052,517725.5754,0.008
10.4907,47.052,602579.9664,0.009
10.4844,47.052,481586.4279,0.01
10.4935,47.052,567474.8306,0.011
10.4923,47.052,496468.1138,0.012
10.4917,47.052,481668.2195,0.013
10.4958,47.052,454090.7414,0.014
10.4748,47.052,421549.782,0.015
10.4786,47.052,103792.1457,0.016
10.4874,47.052,499273.7155,0.017
10.4941,47.052,480508.4209,0.018
10.4889,47.052,520048.9509,0.019
10.4795,47.052,541964.1085,0.02
10.481,47.052,537655.1301,0.021
10.4844,47.052,483742.1731,0.022
10.4826,47.052,494562.461,0.023
10.4908,47.052,449167.3047,0.024
10.4898,47.052,487564.5464,0.025
10.4828,47.052,597396.8662,0.026
10.4856,47.052,516072.1479,0.027
10.4833,47.052,427966.0659,0.028
10.4883,47.052,456939.7323,0.029
10.4966,47.052,449756.0718,0.03
10.5037,47.052,473663.3131,0.031
10.4855,47.052,91185.3177,0.032
10.5068,47.052,429349.0443,0.033
10.4828,47.052,441428.3034,0.034
10.4804,47.052,547035.2099,0.035
10.4877,47.052,536767.6905,0.036
10.4887,47.052,483185.3614,0.037
10.4639,47.052,579396.132,0.038
10.4822,47.052,456129.8032,0.039
10.4896,47.052,475800.4254,0.04
10.4825,47.052,546169.247,0.041
10.4815,47.052,431029.6714,0.042
10.4801,47.052,477814.7882,0.043
10.484,47.052,550409.9139,0.044
10.4857,47.052,486885.2124,0.045
10.4802,47.052,480816.4914,0.046
10.4987,47.052,125931.6585,0.047
10.4899,47.052,421460.4652,0.048
10.4773,47.052,566254.4008,0.049
10.4831,47.052,411895.746,0.05
10.481,47.052,477341.179,0.051
10.4746,47.052,561410.8116,0.052
10.4779,47.052,517522.3921,0.053
10.4859,47.052,471616.1487,0.054
10.4898,47.052,462460.6964,0.055
10.479,47.052,485440.1609,0.056
10.4752,47.052,422901.3756,0.057
10.4861,47.052,544757.398,0.058
10.4776,47.052,476556.848,0.059
10.4701,47.052,531055.4866,0.06
10.4809,47.052,449659.7694,0.061
10.4836,47.052,497049.3362,0.062
10.4759,47.052,111140.9936,0.063
10.4836,47.052,538169.6348,0.064
10.4796,47.052,483496.8735,0.065
10.4801,47.052,504860.3615,0.066
10.4815,47.052,489176.7353,0.067
10.4708,47.052,411410.0107,0.068
10.4834,47.052,386529.4409,0.069
10.4798,47.052,456036.4392,0.07
10.4866,47.052,493112.8959,0.071
10.4914,47.052,519261.4332,0.072
10.4785,47.052,507395.3373,0.073
10.4913,47.052,544765.6053,0.074
10.4894,47.052,488559.9036,0.075
10.4829,47.052,500747.3045,0.076
10.5002,47.052,467416.0478,0.077
10.4745,47.052,499620.3815,0.078
10.4845,47.052,135080.111,0.079
10.4834,47.052,460401.9696,0.08
10.459,47.052,470375.439,0.081
10.4716,47.052,480119.0443,0.082
10.4842,47.052,386620.968,0.083
10.4714,47.052,466551.4634,0.084
10.4765,47.052,450281.6711,0.085
10.47,47.052,494887.0975,0.086
10.4698,47.052,408094.2275,0.087
10.4542,47.052,426157.1158,0.088
10.4695,47.052,507966.4423,0.089
10.4627,47.052,478951.347,0.09
10.47,47.052,495908.9727,0.091
10.4628,47.052,483882.5339,0.092
10.4513,47.052,491327.2311,0.093
10.4781,47.052,154121.8425,0.094
10.4667,47.052,525921.8366,0.095
10.4556,47.052,489983.8074,0.096
10.4725,47.052,442549.6429,0.097
10.4722,47.052,400397.0201,0.098
10.4662,47.052,447081.5143,0.099
10.4619,47.052,397944.2661,0.1
10.4772,47.052,451695.9517,0.101
10.4665,47.052,572987.2605,0.102
10.4586,47.052,453463.4758,0.103
10.4634,47.052,489271.4147,0.104
10.4729,47.052,477781.0252,0.105
10.4751,47.052,426480.9493,0.106
10.4662,47.052,489060.7246,0.107
10.457,47.052,479918.0334,0.108
10.4724,47.052,433593.2209,0.109
10.4582,47.052,119225.639,0.11
10.4544,47.052,410962.1197,0.111
10.4595,47.052,413833.0879,0.112
10.459,47.052,426466.1193,0.113
10.4674,47.052,433879.4319,0.114
10.4461,47.052,432744.2261,0.115
10.4451,47.052,473916.3142,0.116
10.4571,47.052,567242.5675,0.117
10.4614,47.052,593418.8566,0.118
10.4567,47.052,481322.9769,0.119
10.4603,47.052,510404.7947,0.12
10.4545,47.052,535751.7401,0.121
10.4573,47.052,518161.9583,0.122
10.4447,47.052,475538.4402,0.123
10.4646,47.052,465291.0962,0.124
10.446,47.052,544767.0137,0.125
10.4369,47.052,156347.9234,0.126
10.4526,47.052,477462.1478,0.127
10.4571,47.052,436481.4389,0.128
10.4637,47.052,498049.2398,0.129
10.4546,47.052,480855.6748,0.13
10.4571,47.052,580771.2912,0.131
10.4476,47.052,509355.209,0.132
10.4513,47.052,454800.5936,0.133
10.4531,47.052,504141.1541,0.134
10.4518,47.052,428708.4781,0.135
10.4447,47.052,480776.9117,0.136
10.4545,47.052,480730.3434,0.137
10.4482,47.052,556469.8922,0.138
10.4488,47.052,508749.0933,0.139
10.4485,47.052,443212.1852,0.14
10.4396,47.052,93909.8649,0.141
10.4269,47.052,483477.5649,0.142
10.4367,47.052,428414.1548,0.143
10.4406,47.052,455615.5253,0.144
10.4387,47.052,429100.2364,0.145
10.4477,47.052,461872.2044,0.146
10.447,47.052,422964.9953,0.147
10.4322,47.052,492663.4393,0.148
10.4447,47.052,495694.9789,0.149
10.439,47.052,549787.0322,0.15
10.4462,47.052,403574.4141,0.151
10.4485,47.052,408913.748,0.152
10.4455,47.052,442624.1021,0.153
10.4323,47.052,551505.5219,0.154
10.4353,47.052,459362.3358,0.155
10.4299,47.052,550554.4454,0.156
10.4381,47.052,132892.924,0.157
10.4336,47.052,426426.6942,0.158
10.4519,47.052,497425.2136,0.159
10.4417,47.052,440083.5027,0.16
10.4309,47.052,485570.3832,0.161
10.4275,47.052,440435.639,0.162
10.4298,47.052,480091.0916,0.163
10.4229,47.052,519402.584,0.164
10.4339,47.052,478001.0464,0.165
10.4286,47.052,569661.8153,0.166
10.4312,47.052,517819.9671,0.167
10.4323,47.052,540235.4434,0.168
10.4345,47.052,503400.3138,0.169
10.4187,47.052,434702.857,0.17
10.4268,47.052,469008.8637,0.171
10.4394,47.052,122009.3987,0.172
10.4273,47.052,529990.5072,0.173
10.4136,47.052,551512.7655,0.174
10.411,47.052,495832.6918,0.175
10.4249,47.052,434399.0473,0.176
10.4383,47.052,449731.3046,0.177
10.4192,47.052,484636.5506,0.178
10.4293,47.052,454293.1964,0.179
10.4126,47.052,532597.4026,0.18
10.4167,47.052,419265.3582,0.181
10.4381,47.052,520005.108,0.182
10.4124,47.052,561928.0296,0.183
10.4135,47.052,566182.185,0.184
10.4028,47.052,492571.2054,0.185
10.417,47.052,413109.6241,0.186
10.4106,47.052,459502.4347,0.187
10.4084,47.052,139771.9143,0.188
10.413,47.052,399355.4195,0.189
10.4058,47.052,492060.9401,0.19
10.4233,47.052,537992.7987,0.191
10.406,47.052,478170.603,0.192
10.4117,47.052,481237.8538,0.193
10.393,47.052,579181.9441,0.194
10.4061,47.052,550834.6821,0.195
10.4075,47.052,490294.3265,0.196
10.3889,47.052,528739.7795,0.197
10.4023,47.052,508711.5991,0.198
10.3954,47.052,475561.0717,0.199
10.3947,47.052,487150.9075,0.2
10.4111,47.052,527945.0469,0.201
10.3973,47.052,483655.7698,0.202
10.3936,47.052,526619.9128,0.203
10.3854,47.052,97951.9387,0.204
10.4044,47.052,461319.8005,0.205
10.4038,47.052,499517.8231,0.206
10.3934,47.052,508865.4992,0.207
10.4069,47.052,393657.274,0.208
10.3975,47.052,553536.373,0.209
10.3797,47.052,558733.8809,0.21
10.3904,47.052,509754.4359,0.211
10.3985,47.052,518033.2248,0.212
10.3945,47.052,563596.9341,0.213
10.4001,47.052,526033.8523,0.214
10.378,47.052,477689.5864,0.215
10.3847,47.052,510528.0995,0.216
10.378,47.052,551897.0284,0.217
10.3816,47.052,493613.4165,0.218
10.3782,47.052,135799.3977,0.219
10.3724,47.052,462128.9539,0.22
10.3823,47.052,476183.3357,0.221
10.3844,47.052,447817.8589,0.222
10.3858,47.052,586351.0681,0.223
10.376,47.052,507802.2052,0.224
10.3616,47.052,491444.0414,0.225
10.3742,47.052,529405.7315,0.226
10.3892,47.052,450813.3076,0.227
10.3921,47.052,414038.2873,0.228
10.3605,47.052,460417.7718,0.229
10.3734,47.052,513551.8285,0.23
10.3693,47.052,449605.8832,0.231
10.3705,47.052,488816.7473,0.232
10.3723,47.052,472864.7734,0.233
10.3537,47.052,487085.0841,0.234
10.3553,47.052,126853.6223,0.235
10.3765,47.052,474465.633,0.236
10.3703,47.052,468061.2326,0.237
10.3725,47.052,457303.7103,0.238
10.35,47.052,497752.7309,0.239
10.3557,47.052,529637.814,0.24
10.361,47.052,448014.0575,0.241
10.3623,47.052,485887.436,0.242
10.3663,47.052,461989.0876,0.243
10.3493,47.052,495380.8314,0.244
10.3488,47.052,469956.4224,0.245
10.3589,47.052,420211.8431,0.246
10.3187,47.052,410202.6326,0.247
10.347,47.052,449232.7257,0.248
10.3391,47.052,479206.7441,0.249
10.3414,47.052,465117.5562,0.25
10.3499,47.052,105381.8997,0.251
10.3504,47.052,521114.9233,0.252
10.332,47.052,488324.1689,0.253
10.32,47.052,591858.1214,0.254
10.3396,47.052,430206.6697,0.255
10.3441,47.052,483090.5246,0.256
10.338,47.052,513405.8149,0.257
10.3324,47.052,459909.1016,0.258
10.3317,47.052,537754.1234,0.259
10.3319,47.052,543352.6144,0.26
10.352,47.052,431518.252,0.261
10.3378,47.052,509743.7091,0.262
10.3162,47.052,496805.0365,0.263
10.3165,47.052,524258.3104,0.264
10.3229,47.052,510186.0709,0.265
10.3237,47.052,130246.2608,0.266
10.3246,47.052,445620.3506,0.267
10.3159,47.052,463227.661,0.268
10.3337,47.052,470937.8728,0.269
10.3108,47.052,509399.9529,0.27
