Loss,Mem,lr
8.4284,35.5,1.0
8.6709,35.5,1.0
8.3397,35.5,1.0
7.9735,35.5,1.0
8.6272,35.5,1.0
8.1988,35.5,1.0
8.6349,35.5,1.0
8.1178,35.5,1.0
7.8786,35.5,1.0
7.7067,35.5,1.0
7.8906,35.5,1.0
7.8727,35.5,1.0
7.7893,35.5,1.0
7.9009,35.5,1.0
7.8178,35.5,1.0
7.4966,35.5,1.0
7.871,35.5,1.0
7.6285,35.5,1.0
7.0474,35.5,1.0
7.6854,35.5,1.0
7.3205,35.5,1.0
7.573,35.5,1.0
7.9645,35.5,1.0
7.3504,35.5,1.0
7.0171,35.5,1.0
7.5345,35.5,1.0
7.3261,35.5,1.0
7.4634,35.5,1.0
7.4428,35.5,1.0
7.3782,35.5,1.0
7.0658,35.5,1.0
7.2912,35.5,1.0
7.6261,35.5,1.0
7.0168,35.5,1.0
7.5668,35.5,1.0
7.2268,35.5,1.0
7.2814,35.5,1.0
7.4321,35.5,1.0
7.3167,35.5,1.0
7.486,35.5,1.0
7.2637,35.5,1.0
7.4482,35.5,1.0
7.4312,35.5,1.0
6.8939,40.2,1.0
7.0532,40.2,1.0
7.582,40.2,1.0
7.2229,40.2,1.0
7.4239,40.2,1.0
7.7569,40.2,1.0
7.1383,40.2,1.0
7.6389,40.2,1.0
7.362,40.2,1.0
7.2702,40.2,1.0
7.1204,40.2,1.0
7.6133,40.2,1.0
7.4404,40.2,1.0
7.4427,40.2,1.0
7.7304,40.2,1.0
7.2759,40.2,1.0
7.3915,40.2,1.0
7.1974,40.2,1.0
7.1374,40.2,1.0
7.3767,40.2,1.0
6.9243,40.2,1.0
7.3276,40.2,1.0
7.371,40.2,1.0
6.9919,40.2,1.0
7.3153,40.2,1.0
7.2208,40.2,1.0
7.1698,40.2,1.0
7.4134,40.2,1.0
7.2873,40.2,1.0
7.086,40.2,1.0
6.9855,40.2,1.0
7.5769,40.2,1.0
7.0189,40.2,1.0
7.1895,40.2,1.0
6.7952,40.2,1.0
7.2722,40.2,1.0
7.2411,40.2,1.0
6.9378,40.2,1.0
7.2195,40.2,1.0
6.8187,40.2,1.0
6.9366,40.2,1.0
7.3152,40.2,1.0
7.2717,40.2,1.0
7.2084,40.2,1.0
7.1455,40.2,1.0
7.3532,40.2,1.0
7.0971,40.2,1.0
7.0088,40.8,1.0
7.4413,40.8,1.0
7.1705,40.8,1.0
7.3173,40.8,1.0
7.2985,40.8,1.0
7.5193,40.8,1.0
6.9853,40.8,1.0
6.9629,40.8,1.0
7.0529,40.8,1.0
7.1835,40.8,1.0
7.0527,40.8,1.0
7.0479,40.8,1.0
7.1458,40.8,1.0
7.2738,40.8,1.0
6.8283,40.8,1.0
7.0214,40.8,1.0
7.0584,40.8,1.0
7.2702,40.8,1.0
7.1795,40.8,1.0
7.2888,40.8,1.0
7.302,40.8,1.0
6.8645,40.8,1.0
7.1946,40.8,1.0
7.476,40.8,1.0
7.3258,40.8,1.0
7.1624,40.8,1.0
6.8297,40.8,1.0
7.1536,40.8,1.0
6.6444,40.8,1.0
7.4472,40.8,1.0
7.2716,40.8,1.0
7.1981,40.8,1.0
7.0334,40.8,1.0
7.0814,40.8,1.0
7.6064,40.8,1.0
7.1424,40.8,1.0
6.9609,40.8,1.0
7.1604,40.8,1.0
7.1338,40.8,1.0
7.0996,40.8,1.0
7.2882,40.8,1.0
6.6506,40.8,1.0
6.8019,40.8,1.0
7.2059,40.8,1.0
7.0418,40.8,1.0
7.1055,40.8,1.0
7.0632,40.8,1.0
7.3475,40.8,1.0
7.0552,40.8,1.0
6.852,40.8,1.0
7.3447,40.8,1.0
7.4046,40.8,1.0
6.9567,40.8,1.0
7.2621,40.8,1.0
7.1308,40.8,1.0
7.212,40.8,1.0
7.2755,40.8,1.0
6.8812,40.8,1.0
7.3437,40.8,1.0
7.062,40.8,1.0
7.2425,40.8,1.0
7.0244,40.8,1.0
7.2651,40.8,1.0
6.9822,40.8,1.0
7.4603,40.8,1.0
7.0261,40.8,1.0
6.9018,40.8,1.0
7.6388,40.8,1.0
7.1128,40.8,1.0
7.2128,40.8,1.0
7.0753,40.8,1.0
6.9454,40.8,1.0
7.2211,40.8,1.0
6.778,40.8,1.0
7.0073,40.8,1.0
7.299,40.8,1.0
7.1399,40.8,1.0
7.0327,40.8,1.0
7.1562,40.8,1.0
7.3728,40.8,1.0
7.0214,40.8,1.0
6.7439,40.8,1.0
7.5366,40.8,1.0
7.065,40.8,1.0
7.7259,40.8,1.0
7.0517,40.8,1.0
7.2755,40.8,1.0
7.0519,40.8,1.0
