Loss,Mem,lr
9.2593,37.9,1.0
8.3944,38.0,1.0
8.1503,38.0,1.0
8.0615,38.0,1.0
8.4917,38.0,1.0
7.9502,38.0,1.0
7.5343,38.0,1.0
8.2388,38.0,1.0
7.7265,38.0,1.0
7.5241,38.0,1.0
7.7755,38.0,1.0
7.5153,38.0,1.0
7.783,38.0,1.0
7.5902,38.0,1.0
6.4923,38.0,1.0
7.4192,38.0,1.0
7.5976,38.0,1.0
7.0227,38.0,1.0
7.2317,38.0,1.0
7.5499,38.0,1.0
7.1127,38.0,1.0
7.2348,38.2,1.0
7.4234,38.2,1.0
7.4261,38.2,1.0
7.585,38.2,1.0
7.559,38.2,1.0
7.2772,38.2,1.0
6.8199,38.2,1.0
7.525,38.2,1.0
7.2163,38.2,1.0
7.5194,38.2,1.0
7.3191,38.2,1.0
7.4317,38.2,1.0
7.5638,38.2,1.0
7.6484,38.2,1.0
7.217,38.2,1.0
7.2019,38.2,1.0
7.5939,38.2,1.0
7.475,38.2,1.0
7.3354,38.2,1.0
7.2811,38.2,1.0
7.2086,38.2,1.0
7.3774,38.2,1.0
7.2782,38.2,1.0
7.3751,38.2,1.0
7.4984,38.2,1.0
6.9709,38.2,1.0
7.1411,38.2,1.0
7.1614,38.2,1.0
7.2851,38.2,1.0
7.333,38.2,1.0
7.1586,38.2,1.0
7.2163,38.2,1.0
7.2298,38.2,1.0
7.1769,38.2,1.0
7.3467,38.2,1.0
7.0732,38.2,1.0
7.3298,38.2,1.0
6.9578,38.2,1.0
7.1954,38.2,1.0
7.2,38.2,1.0
7.2474,38.2,1.0
7.1393,38.2,1.0
6.8733,38.2,1.0
7.0728,38.2,1.0
6.9046,38.2,1.0
7.0514,38.2,1.0
7.2511,38.2,1.0
6.8478,38.2,1.0
7.2124,38.2,1.0
7.1225,38.2,1.0
7.0551,38.2,1.0
7.3257,38.2,1.0
7.0559,38.2,1.0
7.3406,38.2,1.0
7.1312,38.2,1.0
6.9095,38.2,1.0
7.57,38.2,1.0
7.206,38.2,1.0
7.0518,38.2,1.0
7.143,38.2,1.0
7.1025,40.3,1.0
7.2202,40.3,1.0
7.1348,40.3,1.0
7.1126,40.3,1.0
6.8538,40.3,1.0
7.1446,40.3,1.0
7.0897,40.3,1.0
7.0289,40.3,1.0
6.9988,40.3,1.0
7.0247,40.3,1.0
7.0829,40.3,1.0
7.2136,40.3,1.0
7.3026,40.3,1.0
7.2278,40.3,1.0
7.1315,40.3,1.0
7.1546,40.3,1.0
6.9599,40.3,1.0
7.1301,40.3,1.0
7.0237,40.3,1.0
7.1577,40.3,1.0
6.8245,40.3,1.0
6.9273,40.3,1.0
7.3171,40.3,1.0
7.2587,40.3,1.0
7.2672,40.3,1.0
7.0133,40.3,1.0
7.196,40.3,1.0
7.228,40.3,1.0
6.8312,40.3,1.0
7.1178,40.3,1.0
6.8912,40.3,1.0
6.9487,40.3,1.0
7.416,40.3,1.0
6.9392,40.3,1.0
7.1685,40.3,1.0
7.1515,40.3,1.0
7.285,40.3,1.0
7.3088,40.3,1.0
7.3965,40.3,1.0
7.0577,40.3,1.0
7.225,40.3,1.0
6.8896,40.3,1.0
7.3199,40.3,1.0
7.0457,40.3,1.0
7.304,40.3,1.0
7.1498,40.3,1.0
6.5028,40.3,1.0
6.934,40.3,1.0
6.8696,40.3,1.0
6.7438,40.3,1.0
7.0542,40.3,1.0
7.3111,40.3,1.0
7.0991,40.3,1.0
7.0779,40.3,1.0
7.2203,40.3,1.0
7.0245,40.3,1.0
6.9539,40.3,1.0
7.1317,40.3,1.0
6.8892,40.3,1.0
6.7717,40.3,1.0
7.4437,40.3,1.0
7.0946,40.3,1.0
6.9968,40.3,1.0
7.0925,40.3,1.0
7.0396,40.3,1.0
6.8174,48.3,1.0
7.2621,48.3,1.0
6.9287,48.3,1.0
7.0108,48.3,1.0
7.1663,48.3,1.0
7.0065,48.3,1.0
7.2735,48.3,1.0
6.987,48.3,1.0
7.2257,48.3,1.0
7.2569,48.3,1.0
7.0468,48.3,1.0
7.1572,48.3,1.0
7.1984,48.3,1.0
7.0446,48.3,1.0
6.7414,48.3,1.0
6.8957,48.3,1.0
7.2068,48.3,1.0
7.033,48.3,1.0
7.1682,48.3,1.0
6.9566,48.3,1.0
6.967,48.3,1.0
6.643,48.3,1.0
7.0848,48.3,1.0
6.788,48.3,1.0
7.1269,48.3,1.0
7.3606,48.3,1.0
7.2415,48.3,1.0
7.0142,48.3,1.0
7.2296,48.3,1.0
7.3284,48.3,1.0
6.9124,48.3,1.0
7.1167,48.3,1.0
7.0316,48.3,1.0
6.9196,48.3,1.0
7.1399,48.3,1.0
7.046,48.3,1.0
6.9146,48.3,1.0
7.0508,48.3,1.0
6.9239,48.3,1.0
6.8011,48.3,1.0
6.8716,48.3,1.0
6.6354,48.3,1.0
6.656,48.3,1.0
6.9144,48.3,1.0
6.4753,66.0,1.0
6.9565,66.0,1.0
7.0701,66.0,1.0
6.9225,66.0,1.0
7.2866,66.0,1.0
6.9241,66.0,1.0
6.9867,66.0,1.0
6.6845,66.0,1.0
6.8877,66.0,1.0
6.9457,66.0,1.0
6.825,66.0,1.0
7.2352,66.0,1.0
6.9058,66.0,1.0
7.1249,66.0,1.0
7.1484,66.0,1.0
6.9758,66.0,1.0
6.8983,66.0,1.0
6.9935,66.0,1.0
7.1899,66.0,1.0
6.8313,66.0,1.0
7.1278,66.0,1.0
6.9545,66.0,1.0
6.9441,66.0,1.0
7.159,66.0,1.0
7.0715,66.0,1.0
7.1177,66.0,1.0
7.0037,66.0,1.0
7.1526,66.0,1.0
6.6304,66.0,1.0
6.8001,66.0,1.0
7.1133,66.0,1.0
6.8122,66.0,1.0
6.7018,66.0,1.0
6.5737,66.0,1.0
6.982,66.0,1.0
6.9973,66.0,1.0
6.8195,66.0,1.0
7.3987,66.0,1.0
7.1602,66.0,1.0
7.257,66.0,1.0
7.0701,66.0,1.0
6.9509,66.0,1.0
7.1497,66.0,1.0
7.2105,66.0,1.0
7.0224,66.0,1.0
6.8512,66.0,1.0
6.9585,66.0,1.0
6.8212,66.0,1.0
7.074,66.0,1.0
6.908,66.0,1.0
6.8859,66.0,1.0
6.9492,66.0,1.0
7.1403,66.0,1.0
7.1295,66.0,1.0
7.249,66.0,1.0
7.0777,66.0,1.0
6.6553,66.0,1.0
7.1094,66.0,1.0
7.1957,66.0,1.0
6.9367,66.0,1.0
6.9088,66.0,1.0
6.9314,66.0,1.0
6.8862,66.0,1.0
7.091,66.0,1.0
7.0107,66.0,1.0
