Loss,Mem,Throughput,lr,0,1,2,3
10.496,43.594,16142.1941,1.0,,,,
10.4886,43.601,28187.0245,1.0,,,,
10.4724,43.601,30183.5885,1.0,,,,
10.4757,43.601,28299.177,1.0,,,,
10.472,43.601,31043.506,1.0,,,,
10.4863,43.601,25478.2283,1.0,,,,
10.4596,43.601,28852.9586,1.0,,,,
10.4522,43.601,29839.389,1.0,,,,
10.4552,43.601,34250.4854,1.0,,,,
10.4498,43.601,27406.2319,1.0,,,,
10.4573,43.601,32148.5608,1.0,,,,
10.4449,43.601,28193.9312,1.0,,,,
10.445,43.601,27566.1878,1.0,,,,
10.4273,43.601,25951.6608,1.0,,,,
10.4331,43.601,24233.3281,1.0,,,,
10.4442,43.601,19569.547,1.0,,,,
10.4207,43.601,28362.0909,1.0,,,,
10.4255,43.601,27000.4861,1.0,,,,
10.4165,43.601,29602.7411,1.0,,,,
10.3942,43.601,30836.395,1.0,,,,
10.4148,43.599,30716.8578,1.0,,,,
10.3991,43.599,27351.0948,1.0,,,,
10.3936,43.599,27814.8452,1.0,,,,
10.3924,43.599,25475.6913,1.0,,,,
10.3686,43.599,27510.9146,1.0,,,,
10.3849,43.599,34066.0815,1.0,,,,
10.3766,43.599,29436.7606,1.0,,,,
10.3626,43.599,24408.6183,1.0,,,,
10.3681,43.599,25969.5005,1.0,,,,
10.354,43.599,25585.7573,1.0,,,,
10.3484,43.6,26803.847,1.0,,,,
10.3435,43.6,24215.1357,1.0,,,,
10.3146,43.6,24266.456,1.0,,,,
10.3348,43.6,24930.8025,1.0,,,,
10.3167,43.6,30833.4911,1.0,,,,
10.3092,43.6,30395.8825,1.0,,,,
10.316,43.6,27598.4287,1.0,,,,
10.3031,43.6,32860.7308,1.0,,,,
10.3028,43.6,25727.6471,1.0,,,,
10.3153,43.6,26899.0518,1.0,,,,
10.3002,43.602,31387.4179,1.0,,,,
10.2974,43.602,24477.0005,1.0,,,,
10.2758,43.602,26928.6609,1.0,,,,
10.2748,43.602,31160.3745,1.0,,,,
10.2679,43.602,27654.2831,1.0,,,,
10.2852,43.602,27147.3682,1.0,,,,
10.2499,43.602,23206.4825,1.0,,,,
