train_acc,loss,0,1
0.0,18559964.0,,
0.0,19122545.0,,
5.208,19704700.0,,
7.031,18815255.25,,
9.375,19467461.0,,
8.854,19791278.1667,,
8.482,20084152.7143,,
8.984,19826611.875,,
8.681,19778760.1111,,
9.375,19769624.9,,
9.091,19586944.6364,,
8.854,19587432.75,,
8.894,19599397.4615,,
8.705,19759375.2143,,
9.583,19809256.2,,
8.984,19780420.1875,,
8.824,19734563.8235,,
9.201,19695275.3889,,
9.046,19730968.3684,,
9.062,19699461.75,,
9.077,19675282.619,,
8.949,19600127.0455,,
8.967,19619461.7826,,
8.984,19524758.875,,
8.875,19589127.88,,
9.135,19619642.3462,,
9.375,19645008.7037,,
9.263,19625557.25,,
9.052,19638764.931,,
9.479,19666067.3667,,
9.577,19646407.0645,,
9.668,19713847.5938,,
9.848,19671387.5455,,
9.559,19627862.6176,,
9.375,19646720.8857,,
9.201,19629577.4167,,
9.206,19625618.4595,,
9.128,19660607.2895,,
9.054,19660036.1282,,
8.984,19657365.075,,
9.07,19622330.9024,,
9.003,19616545.8333,,
8.866,19617687.4186,,
8.949,19638177.3409,,
9.236,19601246.2444,,
9.579,19606044.7609,,
9.707,19643910.8298,,
9.635,19642354.4792,,
9.821,19623826.1429,,
10.062,19632351.9,,
10.11,19602639.902,,
10.096,19579940.5962,,
10.259,19577391.9811,,
10.185,19595104.2037,,
10.227,19605864.8545,,
10.268,19620110.0893,,
10.252,19643922.0526,,
10.399,19652329.569,,
10.434,19676434.8983,,
10.521,19746311.3833,,
10.4,19725315.459,,
10.333,19728311.4032,,
10.268,19759604.1429,,
10.596,19755028.9219,,
10.625,19735092.1077,,
10.606,19757162.9242,,
10.681,19773743.806,,
10.708,19798945.2794,,
10.643,19783538.5942,,
10.67,19820165.0143,,
10.651,19815663.1972,,
10.547,19840722.3472,,
10.488,19846746.1507,,
10.389,19836588.9324,,
10.417,19840264.5733,,
10.485,19841127.4605,,
10.43,19844187.3377,,
10.617,19848814.1154,,
10.72,19846024.6272,,
10.742,10.3802,,
10.957,16.6447,,
11.09,15.7853,,
11.032,17.6366,,
11.161,17.4754,,
11.25,17.1454,,
11.374,17.422,,
11.351,15.9789,,
11.364,15.1908,,
11.376,14.4903,,
11.424,14.0386,,
11.401,13.3098,,
11.413,12.7358,,
11.391,12.3829,,
11.336,11.8293,,
11.382,11.5252,,
11.393,11.0881,,
11.372,10.681,,
11.288,10.359,,
11.301,9.9837,,
11.312,9.6529,,
11.293,9.368,,
11.428,9.1122,,
11.468,8.8663,,
11.629,8.6374,,
11.637,8.4279,,
11.645,8.2335,,
11.682,8.1555,,
11.69,8.0014,,
