Loss,Mem,Throughput,lr
10.4677,40.851,45.5644,1.0
10.4706,40.859,89.923,1.0
10.4488,40.859,89.8976,1.0
10.4695,40.859,91.2733,1.0
10.4638,40.859,91.031,1.0
10.4611,40.859,89.5242,1.0
10.4699,40.859,91.1246,1.0
10.4473,40.859,90.9497,1.0
10.4425,40.859,91.2134,1.0
10.4577,40.859,91.1124,1.0
10.453,40.859,88.9471,1.0
10.4394,40.859,124.9403,1.0
10.4362,40.859,118.2533,1.0
10.4475,40.859,119.3112,1.0
10.4425,40.859,118.136,1.0
10.435,40.859,88.6991,1.0
10.4276,40.859,117.9553,1.0
10.4511,40.859,117.6636,1.0
10.4324,40.859,117.6271,1.0
10.436,40.859,117.6481,1.0
10.4226,40.859,117.376,1.0
10.4266,40.859,118.0642,1.0
10.4214,40.859,112.735,1.0
10.4099,40.859,89.7276,1.0
10.4216,40.859,90.2708,1.0
10.4167,40.859,91.8773,1.0
10.4088,40.859,89.8815,1.0
10.3994,40.859,90.373,1.0
10.4087,40.859,89.9218,1.0
10.4112,40.859,91.7828,1.0
10.4085,40.859,94.2339,1.0
10.3991,40.859,75.6733,1.0
10.4009,40.859,91.2714,1.0
10.3987,40.859,90.3022,1.0
10.3919,40.859,90.0027,1.0
10.3944,40.859,89.9723,1.0
10.3891,40.859,90.1458,1.0
10.3803,40.859,90.9335,1.0
10.4017,40.859,90.8286,1.0
10.3896,40.859,90.2218,1.0
10.3751,40.859,90.1688,1.0
10.3874,40.859,90.7893,1.0
10.373,40.859,90.2602,1.0
10.3868,40.859,92.2366,1.0
10.3677,40.859,90.4573,1.0
10.3816,40.859,90.0081,1.0
10.3728,40.859,74.7331,1.0
10.3811,40.859,90.4668,1.0
10.3574,40.859,90.2369,1.0
10.3636,40.859,89.7491,1.0
10.3563,41.03,89.8881,1.0
10.3654,41.03,90.285,1.0
10.36,41.03,90.9596,1.0
10.3562,41.03,90.5823,1.0
10.344,41.03,89.7382,1.0
10.3539,41.03,89.4294,1.0
10.3503,41.03,89.5837,1.0
10.3484,41.03,89.946,1.0
10.3508,41.03,89.6137,1.0
10.3136,41.03,89.4137,1.0
10.353,41.022,89.8102,1.0
10.3648,41.022,93.3434,1.0
10.3408,41.022,69.5714,1.0
10.356,41.022,91.1544,1.0
10.3395,41.022,117.3333,1.0
10.3195,41.022,91.0967,1.0
10.3439,41.022,91.8383,1.0
10.3309,41.022,90.6569,1.0
10.3366,41.022,91.1581,1.0
10.3178,41.022,90.8154,1.0
10.3256,41.023,91.6343,1.0
10.3149,41.023,91.2935,1.0
10.3382,41.023,91.2752,1.0
10.3129,41.023,90.9526,1.0
10.3112,41.023,93.6701,1.0
10.3202,41.023,91.381,1.0
10.3082,41.023,90.627,1.0
10.2935,41.023,89.8688,1.0
10.3192,41.023,74.9038,1.0
10.2936,41.023,90.5844,1.0
10.3168,41.023,90.7919,1.0
10.3119,41.023,92.0809,1.0
10.3155,41.023,90.1006,1.0
10.2872,41.023,90.5234,1.0
10.2829,41.023,91.1631,1.0
10.2911,41.023,90.6376,1.0
10.2934,41.023,105.1813,1.0
10.2803,41.023,91.664,1.0
10.2968,41.023,90.5616,1.0
10.2576,41.023,91.0657,1.0
10.2669,41.022,92.1251,1.0
10.2662,41.022,93.234,1.0
10.2569,41.022,91.8624,1.0
10.2677,41.022,77.278,1.0
10.2694,41.022,91.3713,1.0
10.2635,41.022,92.1779,1.0
10.2637,41.022,91.4185,1.0
10.2814,41.022,90.6308,1.0
10.2494,41.022,90.8822,1.0
10.2545,41.022,91.763,1.0
10.2512,41.031,90.8255,1.0
10.2113,41.031,91.518,1.0
10.2529,41.031,91.0843,1.0
10.228,41.031,91.3283,1.0
10.2374,41.031,94.6413,1.0
10.2289,41.031,92.1347,1.0
10.2237,41.031,91.3381,1.0
10.2194,41.031,91.9308,1.0
10.2291,41.031,90.413,1.0
10.2374,41.031,75.6862,1.0
10.2411,41.023,91.5191,1.0
10.2356,41.023,91.9596,1.0
10.2281,41.023,90.6293,1.0
10.2414,41.023,88.8086,1.0
10.2159,41.023,87.9608,1.0
10.1914,41.023,88.9871,1.0
10.2109,41.023,89.6139,1.0
10.2151,41.023,90.0607,1.0
10.1884,41.023,89.8314,1.0
10.2142,41.023,90.042,1.0
10.2101,41.022,89.3263,1.0
