train_acc,loss,0,1
0.0,33255900.0,,
3.125,33009012.0,,
6.25,32168703.3333,,
4.688,32303910.0,,
6.875,32838078.4,,
5.729,32799642.6667,,
5.357,33040777.7143,,
5.469,32664807.5,,
5.208,32839895.5556,,
5.938,32689783.4,,
6.25,32797044.5455,,
6.51,32771705.6667,,
6.971,32745604.0,,
7.143,32709555.7143,,
7.5,32842408.2667,,
7.812,32759032.5,,
7.904,32672102.1176,,
8.16,32829390.2222,,
8.717,32810665.4737,,
8.281,32739834.5,,
8.185,32775791.1429,,
7.955,32736904.7273,,
7.88,32763649.913,,
7.943,32737209.4167,,
8.0,32784238.48,,
7.933,32833013.1538,,
7.87,32968901.4074,,
7.924,33018824.5,,
8.19,32964711.4483,,
8.542,32996575.7333,,
8.468,32956986.5161,,
8.594,32959769.0,,
9.186,32971992.0,,
8.915,32959067.3529,,
9.018,33002390.3429,,
8.854,32998611.0,,
8.953,32924779.8378,,
8.717,32929889.1579,,
8.814,32943669.2821,,
8.75,32868395.15,,
8.994,32851603.0732,,
9.152,32838699.1429,,
9.084,32796898.3721,,
9.091,32830717.4091,,
9.097,32849604.4,,
9.511,32906828.8261,,
9.574,32925019.8723,,
9.766,32903302.1667,,
10.013,32954695.5102,,
10.0,32926812.36,,
10.049,32903839.3725,,
10.096,32873500.8462,,
10.083,32866925.5472,,
10.069,32916334.7037,,
10.057,32919963.0545,,
10.045,32954871.7857,,
10.033,32983219.2982,,
9.968,32949887.0345,,
10.064,32952504.678,,
10.312,32963301.9333,,
10.195,32951886.1639,,
10.282,32921134.7419,,
10.218,32959664.7302,,
10.352,32982736.0938,,
10.24,32984839.2308,,
10.322,33009402.3939,,
10.541,33018767.6119,,
10.616,33012761.8824,,
10.598,32984418.058,,
10.58,33027451.1143,,
10.695,33038777.3803,,
10.634,33050116.5833,,
10.702,33073929.7808,,
10.684,33079137.0541,,
10.75,33066027.4133,,
10.896,33038080.1579,,
10.917,33032801.7403,,
10.897,33056594.3333,,
10.918,33053471.6224,,
10.938,15.6555,,
11.034,15.381,,
10.976,17.314,,
11.069,17.7185,,
11.161,16.0638,,
11.176,18.5344,,
11.301,18.2468,,
11.386,17.8952,,
11.47,18.1294,,
11.587,17.6126,,
11.632,16.6396,,
11.641,15.7482,,
11.787,14.8663,,
11.761,14.2115,,
11.735,13.5308,,
11.776,13.036,,
11.882,12.4944,,
11.888,12.0766,,
11.894,11.5801,,
11.932,11.2156,,
11.969,10.8367,,
12.129,10.4921,,
12.194,10.1764,,
12.197,9.8702,,
12.32,9.6183,,
12.381,9.3554,,
12.353,9.1704,,
12.383,9.0159,,
12.5,8.8227,,
12.5,8.6457,,
12.472,8.5011,,
12.472,8.3251,,
12.472,8.1607,,
12.417,8.0198,,
12.5,7.8893,,
12.582,7.751,,
